ts,twd,pr,at,ws,dp,sr,lr,series,site_name,species,series_no,Wt,year,month,year_month
2021-08-29,0.0154652978874911,0.165931320456972,11.5365539550781,1.53988733887672,10.2995391845703,20.7488469895773,359.902758280436,series_40,Neunkirch-North,Fagus sylvatica,22,-0.1285970329931169,2021,8,2021-08
2021-08-30,0.0,0.113285168200188,12.7412811279297,1.52575022727251,11.2647364298503,50.1975099247969,362.974683125814,series_40,Neunkirch-North,Fagus sylvatica,22,-0.0154652978874911,2021,8,2021-08
2021-08-31,0.0,0.0516471436654532,13.7800537109375,1.67324633151293,11.5192670186361,97.9582083358461,351.384911855062,series_40,Neunkirch-North,Fagus sylvatica,22,0.0,2021,8,2021-08
2021-09-01,0.0699276525041538,1.55355904022751e-06,14.5853642781576,3.68008464574814,9.8871843973796,229.221471452804,287.788845062256,series_40,Neunkirch-North,Fagus sylvatica,22,0.0699276525041538,2021,9,2021-09
2021-09-02,0.299247021125089,4.72953845095011e-06,15.3853190104167,3.01099079847336,11.3380332946778,224.24374312995,294.316815694173,series_40,Neunkirch-North,Fagus sylvatica,22,0.22931936862093522,2021,9,2021-09
2021-09-03,0.355258960360788,3.65286164575688e-05,16.7337445576986,1.48221663633982,12.3643547058106,214.759534170455,312.596248626709,series_40,Neunkirch-North,Fagus sylvatica,22,0.056011939235699026,2021,9,2021-09
2021-09-04,0.446829147875623,0.0986620161085436,17.8457351684571,1.46447671949863,12.737264251709,198.449228070676,334.386333465576,series_40,Neunkirch-North,Fagus sylvatica,22,0.09157018751483498,2021,9,2021-09
2021-09-05,0.553131212912414,0.0108606463221813,18.0851137797038,1.39087741573652,12.7404774983724,185.004038413366,342.566745758057,series_40,Neunkirch-North,Fagus sylvatica,22,0.10630206503679096,2021,9,2021-09
2021-09-06,0.72632805601709,7.98792590709733e-06,18.3503178914388,2.03486840426922,12.7115760803223,211.829811471825,320.7879002889,series_40,Neunkirch-North,Fagus sylvatica,22,0.1731968431046761,2021,9,2021-09
2021-09-07,0.85609114645146,8.25836183970807e-06,17.9437868754069,2.32851079106331,11.5801292419434,205.930415572599,313.457571665446,series_40,Neunkirch-North,Fagus sylvatica,22,0.12976309043436995,2021,9,2021-09
2021-09-08,0.913713387135058,6.93987736610779e-06,18.7176948547364,1.69830411672592,12.606103515625,208.235701055266,322.985984802246,series_40,Neunkirch-North,Fagus sylvatica,22,0.057622240683598,2021,9,2021-09
2021-09-09,0.912864657014004,0.0227390350286214,18.329170481364,1.71314127743244,13.3447446187337,102.462258664037,374.07373936971,series_40,Neunkirch-North,Fagus sylvatica,22,-0.0008487301210540199,2021,9,2021-09
2021-09-10,0.721493045335865,0.0860328087880286,17.0220860799154,1.54486467937628,14.5834162394206,91.4117467999458,375.448087056478,series_40,Neunkirch-North,Fagus sylvatica,22,-0.191371611678139,2021,9,2021-09
2021-09-11,0.541796748160456,0.0012791192615016,16.8713152567546,1.73722482472658,13.6978889465332,157.146394093831,358.500066121419,series_40,Neunkirch-North,Fagus sylvatica,22,-0.17969629717540903,2021,9,2021-09
2021-09-12,0.728100522193211,-2.10151525277998e-06,17.430436706543,1.31016315768162,12.9699773152669,160.567123174667,345.244784037272,series_40,Neunkirch-North,Fagus sylvatica,22,0.186303774032755,2021,9,2021-09
2021-09-13,0.77945803465464,3.33695703780279e-06,18.0555536905925,1.23669401059548,13.6175336201986,187.913095792135,323.399973551432,series_40,Neunkirch-North,Fagus sylvatica,22,0.051357512461429056,2021,9,2021-09
2021-09-14,0.858432589603608,0.007270090679062,19.1908902486165,1.25579266498486,14.936919148763,141.579324603081,359.193913777669,series_40,Neunkirch-North,Fagus sylvatica,22,0.07897455494896799,2021,9,2021-09
2021-09-15,0.222373059577498,0.146449837438316,17.8284660339356,1.37528502941132,15.9291905721029,67.9639467994372,383.470439910889,series_40,Neunkirch-North,Fagus sylvatica,22,-0.63605953002611,2021,9,2021-09
2021-09-16,0.0,0.663051264228367,16.1794703165691,1.75522698213657,14.6888951619466,62.7954407682021,381.088063557943,series_40,Neunkirch-North,Fagus sylvatica,22,-0.222373059577498,2021,9,2021-09
2021-09-17,0.0005108473771659,0.0001898389787318,14.8610677083333,1.9706397652626,10.3044372558594,168.376767794291,330.688743591309,series_40,Neunkirch-North,Fagus sylvatica,22,0.0005108473771659,2021,9,2021-09
2021-09-18,0.261129527652504,8.27240292740801e-06,14.223280843099,2.32318317393462,8.46023076375326,186.543849786123,289.324317932129,series_40,Neunkirch-North,Fagus sylvatica,22,0.26061868027533813,2021,9,2021-09
2021-09-19,0.0,0.311757870773969,11.6520426432292,2.99289927879969,9.27287699381515,49.2257653971513,341.630620320638,series_40,Neunkirch-North,Fagus sylvatica,22,-0.261129527652504,2021,9,2021-09
2021-09-20,0.0,0.0334243049049595,12.2835403442383,1.03082521259785,10.4365135192871,90.9824385444323,349.296798706055,series_40,Neunkirch-North,Fagus sylvatica,22,0.0,2021,9,2021-09
2021-09-21,0.135038760977925,2.17565990684084e-05,12.5186274210612,1.7334898536404,9.15305099487307,132.604393780231,322.355528513591,series_40,Neunkirch-North,Fagus sylvatica,22,0.135038760977925,2021,9,2021-09
2021-09-22,0.334827699976264,1.01147279292964e-07,11.625452931722,2.89156660934289,7.0942258199056,174.034417827924,277.619159698486,series_40,Neunkirch-North,Fagus sylvatica,22,0.199788938998339,2021,9,2021-09
2021-09-23,0.440260099691431,1.82350843669354e-06,12.1769386291504,2.02231805026531,8.71269887288412,175.226380934318,274.313781738281,series_40,Neunkirch-North,Fagus sylvatica,22,0.10543239971516699,2021,9,2021-09
2021-09-24,0.373679705672917,0.0,14.3282307942708,1.48448596398036,10.741362508138,170.730397691329,300.085975646973,series_40,Neunkirch-North,Fagus sylvatica,22,-0.06658039401851401,2021,9,2021-09
2021-09-25,0.723589912176596,0.0096960229779086,16.2792221069336,1.15590527653694,11.2023699442546,153.609104832013,330.768510182699,series_40,Neunkirch-North,Fagus sylvatica,22,0.349910206503679,2021,9,2021-09
2021-09-26,0.635291763588892,0.0673134242588276,15.8620162963867,1.75964953998725,13.7849110921224,81.3188852071762,358.896333058675,series_40,Neunkirch-North,Fagus sylvatica,22,-0.08829814858770402,2021,9,2021-09
2021-09-27,0.394027486351768,0.050385027239083,15.9531112670899,1.44036689400673,13.5434750874837,117.57436649253,357.083904266357,series_40,Neunkirch-North,Fagus sylvatica,22,-0.24126427723712396,2021,9,2021-09
2021-09-28,0.573096771896511,0.0537924732654507,13.8210388183594,2.1541982665658,9.83884582519534,127.126238594453,349.076100667318,series_40,Neunkirch-North,Fagus sylvatica,22,0.179069285544743,2021,9,2021-09
2021-09-29,0.696530097317826,0.0205649899284405,12.8639312744141,3.03839930891991,9.27152786254885,133.981466061125,332.455366770426,series_40,Neunkirch-North,Fagus sylvatica,22,0.12343332542131502,2021,9,2021-09
2021-09-30,0.811564300973178,2.20216589307635e-05,9.85241978963217,1.2254291276137,4.36223246256515,152.745583999902,275.610039393107,series_40,Neunkirch-North,Fagus sylvatica,22,0.115034203655352,2021,9,2021-09
2021-10-01,1.03502872062663,6.70193259940296e-05,11.1610961914063,1.14758932590485,7.92438151041671,154.308876604463,291.138822555542,series_40,Neunkirch-North,Fagus sylvatica,22,0.22346441965345198,2021,10,2021-10
2021-10-02,0.995387491098979,0.0109753641952561,14.2799468994141,1.35710232456525,11.1495389302572,130.885515076729,331.194309234619,series_40,Neunkirch-North,Fagus sylvatica,22,-0.039641229527651034,2021,10,2021-10
2021-10-03,1.12495107999051,0.0289237427369263,14.0278806050619,2.23552595824003,10.9328819274903,80.4721023458211,349.754257202148,series_40,Neunkirch-North,Fagus sylvatica,22,0.12956358889153108,2021,10,2021-10
2021-10-04,0.63170880607643,0.157229728305538,10.8328313191732,1.71445128818353,9.22392552693685,36.5354760747092,354.834459940592,series_40,Neunkirch-North,Fagus sylvatica,22,-0.49324227391408004,2021,10,2021-10
2021-10-05,0.32865953002611,0.297831580065273,11.0073206583659,2.5514260083437,9.15774943033858,59.6812005544392,350.203141530355,series_40,Neunkirch-North,Fagus sylvatica,22,-0.30304927605032,2021,10,2021-10
2021-10-06,0.396674222644196,0.0639558126839195,9.18573913574221,3.34688817958037,6.14160563151046,116.517452026096,306.934785207113,series_40,Neunkirch-North,Fagus sylvatica,22,0.06801469261808601,2021,10,2021-10
2021-10-07,0.302563114170425,0.0182376413981065,9.20469563802084,2.44381095717351,6.59700927734377,110.610951128726,315.030259450277,series_40,Neunkirch-North,Fagus sylvatica,22,-0.09411110847377102,2021,10,2021-10
2021-10-08,0.539507690481842,1.5497207594232e-06,10.6314254760742,5.10332754254341,7.50374120076498,106.174371800696,303.88422648112,series_40,Neunkirch-North,Fagus sylvatica,22,0.23694457631141702,2021,10,2021-10
2021-10-09,0.57035779729409,3.87249577767553e-06,9.18925374348959,3.52533493439356,5.43745829264327,108.249997755823,295.359746297201,series_40,Neunkirch-North,Fagus sylvatica,22,0.03085010681224798,2021,10,2021-10
2021-10-10,0.7654756468075,-5.18379792424639e-07,6.50719858805343,2.05758454153935,3.82284571329757,129.388668534346,252.756792068481,series_40,Neunkirch-North,Fagus sylvatica,22,0.19511784951341005,2021,10,2021-10
2021-10-11,0.614547021125089,0.0053210547052774,6.56646245320638,1.28239797304074,3.89293441772463,125.907945190401,283.515594482422,series_40,Neunkirch-North,Fagus sylvatica,22,-0.15092862568241106,2021,10,2021-10
2021-10-12,0.655006646095419,0.28993161891655,7.79722493489584,1.7487380951643,5.91398518880209,45.7312106853351,337.286441802979,series_40,Neunkirch-North,Fagus sylvatica,22,0.040459624970330066,2021,10,2021-10
2021-10-13,0.591166864467126,0.07150420938567,6.95560862223311,1.21549473702908,3.73803736368819,111.005792799251,284.224140167236,series_40,Neunkirch-North,Fagus sylvatica,22,-0.06383978162829307,2021,10,2021-10
2021-10-14,0.653278186565393,-1.28240294827719e-07,5.49503224690756,1.39885190874338,1.90013656616213,124.907104822341,249.524077733358,series_40,Neunkirch-North,Fagus sylvatica,22,0.062111322098267086,2021,10,2021-10
2021-10-15,0.755711915499644,6.99225721323415e-07,6.50336608886721,1.34165626515945,3.49908091227218,102.695942386364,283.88684463501,series_40,Neunkirch-North,Fagus sylvatica,22,0.10243372893425096,2021,10,2021-10
2021-10-16,0.967421908378827,5.80242251283873e-08,7.70955301920577,1.7956165249149,5.01443888346358,117.349049988358,271.489554723104,series_40,Neunkirch-North,Fagus sylvatica,22,0.21170999287918302,2021,10,2021-10
2021-10-17,0.760723878471398,1.15907329215995e-07,6.56421559651693,0.948868020127217,5.45533142089846,69.2307055016669,299.755637486776,series_40,Neunkirch-North,Fagus sylvatica,22,-0.20669802990742903,2021,10,2021-10
2021-10-18,0.55835091383812,0.0,8.25520477294924,0.980239655822515,6.57026316324874,95.9063387457281,307.810230255127,series_40,Neunkirch-North,Fagus sylvatica,22,-0.20237296463327803,2021,10,2021-10
2021-10-19,0.789328435793971,0.0074926887216992,9.09536132812502,1.10201964030663,7.63544489542647,33.7875854192922,331.477490743001,series_40,Neunkirch-North,Fagus sylvatica,22,0.23097752195585108,2021,10,2021-10
2021-10-20,0.969602231189176,0.0042099157273843,11.6904070536296,2.48639136801163,8.47278747558596,101.48141099823,325.834810892741,series_40,Neunkirch-North,Fagus sylvatica,22,0.18027379539520494,2021,10,2021-10
2021-10-21,0.613769190600522,0.811173483787182,11.1121281941732,5.33020316561063,6.00744908650717,95.3828588398173,313.264795939128,series_40,Neunkirch-North,Fagus sylvatica,22,-0.35583304058865395,2021,10,2021-10
2021-10-22,0.291158319487301,0.0254270237924198,7.30138931274416,2.33796648184458,3.85955835978194,89.1601754453538,287.820690790812,series_40,Neunkirch-North,Fagus sylvatica,22,-0.32261087111322106,2021,10,2021-10
2021-10-23,0.444583123664847,1.25531000113218e-07,5.07128550211593,2.44824301451445,1.60451151529952,109.448470507634,235.351943333944,series_40,Neunkirch-North,Fagus sylvatica,22,0.153424804177546,2021,10,2021-10
2021-10-24,0.458328886779017,3.04570712946391e-07,5.00993881225588,1.4912402505676,2.67763036092123,104.385931587623,245.230904261271,series_40,Neunkirch-North,Fagus sylvatica,22,0.013745763114170029,2021,10,2021-10
2021-10-25,0.407878044149062,-1.11623245935277e-06,6.05854822794601,1.03225644802054,4.53245569864913,80.5157253751531,282.129081090291,series_40,Neunkirch-North,Fagus sylvatica,22,-0.05045084262995503,2021,10,2021-10
2021-10-26,0.283300996914313,0.0454318239441823,7.92996749877932,1.38823720564445,6.71629867553713,83.5104732888285,305.030119578044,series_40,Neunkirch-North,Fagus sylvatica,22,-0.124577047234749,2021,10,2021-10
2021-10-27,0.246948658912889,-1.8062014106590101e-09,7.25861256917318,1.91152361780405,5.23778432210287,88.0173936197534,280.921065012614,series_40,Neunkirch-North,Fagus sylvatica,22,-0.036352338001423984,2021,10,2021-10
2021-10-28,0.319118158082127,4.79772221950725e-10,6.46235809326174,1.18693041304747,5.36797231038412,66.666237670385,299.433368047078,series_40,Neunkirch-North,Fagus sylvatica,22,0.07216949916923801,2021,10,2021-10
2021-10-29,0.276495632565868,3.6124075582696e-09,4.76744105021163,1.190814803044,4.21297225952151,55.7748983912946,312.320462544759,series_40,Neunkirch-North,Fagus sylvatica,22,-0.042622525516259,2021,10,2021-10
